model,issue_id,format_valid_0_1,file_relevance_1_5,completeness_1_5,hallucinations_1_5,technical_feasibility_1_5,tests_quality_1_5,notes
Poolside Laguna XS.2,issue_01,,,,,,,
Poolside Laguna XS.2,issue_02,,,,,,,
Poolside Laguna XS.2,issue_03,,,,,,,
Poolside Laguna XS.2,issue_04,,,,,,,
Poolside Laguna XS.2,issue_05,,,,,,,
Cohere North Mini Code,issue_01,,,,,,,
Cohere North Mini Code,issue_02,,,,,,,
Cohere North Mini Code,issue_03,,,,,,,
Cohere North Mini Code,issue_04,,,,,,,
Cohere North Mini Code,issue_05,,,,,,,
Devstral Small 2,issue_01,,,,,,,
Devstral Small 2,issue_02,,,,,,,
Devstral Small 2,issue_03,,,,,,,
Devstral Small 2,issue_04,,,,,,,
Devstral Small 2,issue_05,,,,,,,
Mellum2 12B Thinking,issue_01,,,,,,,
Mellum2 12B Thinking,issue_02,,,,,,,
Mellum2 12B Thinking,issue_03,,,,,,,
Mellum2 12B Thinking,issue_04,,,,,,,
Mellum2 12B Thinking,issue_05,,,,,,,

